Index,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,PagesLead,Status,PageNumber
42,Death Where Is Your Sting,,"Cory Asbury, Anna Asbury",C,C,79,4/4,7102440,2017,Cory Asbury Publishing,Contemporary,3,Final,109
43,Do It Again,,"Steven Furtick, Matt Redman",A,Bb,86,4/4,7067555,2016,Said And Done Music,Contemporary,4,Final,101
44,Even So Come,,"Chris Tomlin, Jason Ingram",G,G,163,6/8,7036288,2015,S. D. G. Publishing,Contemporary,4,Final,105
45,Ever Be,,"Bobby Strand, Chris Greely",D,D,69,4/4,7030065,2014,Bethel Music Publishing,Contemporary,3,Final,117
46,Everlasting God,,"Brenton Brown, Ken Riley",A,Bb,100,4/4,4556538,2005,Thankyou Music,Contemporary,3,Final,125
47,Faithful,,"Chris Tomlin, Christy Nockels",F,Gb,66,4/4,5869877,2010,sixsteps Music,Contemporary,4,Final,113
48,Forever,,Chris Tomlin,A,A,120,4/4,3148428,2001,sixsteps Music,Contemporary,2,Final,203
49,Forever,We Sing Hallelujah,"Brian Johnson, Christa Black Gifford",A,A,73,4/4,7001228,2013,Kari Jobe Carnes Music,Contemporary,3,Final,141
50,Forgiven,,"David Crowder, Ed Cash",B,B,76,4/4,7068806,2016,Alletrop Music,Contemporary,4,Final,121
51,From The Inside Out,,Joel Houston,C,C,76,4/4,4705176,2005,Hillsong Music Publishing Australia,Contemporary,3,Final,149
52,Glorious Day,,"Kristian Stanfill, Jason Ingram",D,D,110,4/4,7081388,2017,Kristian Stanfill Publishing Designee,Contemporary,3,Final,153
53,Glorious Day,Living He Loved Me,"John W. Chapman, Mark Hall",B,B,120,4/4,5638022,2009,My Refuge Music,Contemporary,4,Final,129
54,God Of This City,,"Aaron Boyd, Andrew McCann",C,C,80,4/4,5037070,2006,sixsteps Music,Contemporary,4,Final,133
55,God Of Wonders,,"Marc Byrd, Steve Hindalong",G,"Ab,Bb",82,4/4,3118757,2000,Never Say Never Songs,Contemporary,4,Final,137
56,Good Good Father,,"Anthony Brown, Pat Barrett",A,A,48,6/8,7036612,2014,Capitol CMG Paragon,Contemporary,3,Final,157
57,Gracefully Broken,,"Matt Redman, Jonas Myrin",A,A,88,4/4,7091509,2017,Capitol CMG Genesis,Contemporary,4,Final,145
58,Great Are You Lord,,"David Leonard, Jason Ingram",A,A,144,6/8,6460220,2012, Integrity's Alleluia! Music,Contemporary,2,Final,210
59,Great I Am,,Jared Anderson,D,D,80,4/4,5881491,2011,Integrity Worship Music,Contemporary,3,Final,161
60,Great Is Thy Faithfulness,,"Thomas Chisholm, William Runyan",D,D,75,3/4,18723,1923,Public Domain,Hymn,2,Final,233
61,Great Is Thy Faithfulness,Beginning To End,"William Runyan, Thomas Chisholm",C,C,100,3/4,7109317,2018,Weave Country,Contemporary,3,Final,165
62,Hallelujah For The Cross,,"Jeff Pardo, Ben Glover",D,D,75,4/4,7107551,2018,9t One Songs,Contemporary,5,Final,205
63,Hallelujah For The Cross,Up To The Hill,"Ross King, Todd Wright",A,Bb,115,4/4,6550556,2012,Simple Tense Songs,Contemporary,3,Final,169
64,He Reigns,,"Peter Furler, Steve Taylor",G,G,94,4/4,4026635,2003,Soylent Tunes,Contemporary,3,Final,173
65,Healer,,Mike Guglielmucci,B,B,80,4/4,4873981,2007,Planetshakers Ministries Int. Inc.,Contemporary,4,Final,177
66,"Heart Of Worship, The",,Matt Redman,D,D,70,4/4,2296522,1999,Thankyou Music,Intermediate,2,Final,235
67,Here Again,,"Steven Furtick, Chris Brown",C,C,68,4/4,7111925,2018,Elevation Worship Publishing,Contemporary,3,Final,181
68,Here For You,,"Jesse Reeves, Matt Maher",G,Ab,85,4/4,5925649,2011,Chrysalis Music Ltd.,Contemporary,3,Final,185
69,Here I Am To Worship,,Tim Hughes,E,E,75,4/4,3266032,2000,Thankyou Music,Contemporary,2,Final,257
70,Here Is Love,,"Robert Lowry, William Rees",G,G,80,3/4,3287884,2004,Thankyou Music,Contemporary,3,Final,189
71,Holy,Wedding Day,"Aaron Powell, Elias Dummer",A,Bb,57,4/4,6129798,2011,Thankyou Music,Contemporary,3,Final,193
72,Holy Holy Holy,,"John B. Dykes, Reginald Heber",D,D,0,4/4,1156,1826,Public Domain,Hymn,1,Final,184
73,Hosanna,,Carl Tuttle,G,G,120,4/4,21545,1985,Shadow Spring Music,Intermediate,1,Final,188
74,Hosanna,I See The King Of Glory,Brooke Ligertwood,E,E,75,4/4,4785835,2006,Hillsong Music Publishing Australia,Contemporary,3,Final,197
75,Hosanna,Praise Is Rising,"Brenton Brown, Paul Baloche",G,G,114,4/4,4662491,2006,Thankyou Music,Contemporary,4,Final,213
76,How Deep The Father's Love For Us,,Stuart Townend,D,D,54,4/4,1558110,1995,Thankyou Music,Intermediate,1,Final,192
77,How Firm A Foundation,,George Keith,G,Ab,64,2/2,107816,1787,Public Domain,Hymn,1,Final,196
78,How Great Is Our God,,"Chris Tomlin, Ed Cash",C,C,76,4/4,4348399,2004,sixsteps Music,Contemporary,2,Final,259
79,How Great Thou Art,,Stuart W. K. Hine,B,Bb,48,4/4,14181,1953,Stuart Hine Trust,Hymn,2,Final,269
80,I Can Only Imagine,,Bart Millard,D,D,80,4/4,2978857,2002,Simpleville Music,Contemporary,4,Final,217
81,I Know Whom I Have Believed,,Daniel W. Whittle,C,Db,96,4/4,31762,1883,Public Domain,Hymn,1,Final,200
82,I Lift My Hands,,"Chris Tomlin, Louie Giglio",B,B,85,4/4,5869884,2010,sixsteps Music,Contemporary,4,Final,221
83,I Stand Amazed,My Savior's Love,Charles H. Gabriel,G,Ab,106,4/4,25297,1905,Public Domain,Hymn,1,Final,212
84,I Stand In Awe,,Mark Altrogge,A,A,76,4/4,23914,1987,Sovereign Grace Praise,Intermediate,2,Final,271
85,I Surrender All,,"Judson DeVenter, Winfield Weeden",D,D,74,4/4,23189,1896,Public Domain,Hymn,1,Final,228
86,I Will Follow,,"Chris Tomlin, Jason Ingram",A,Bb,96,4/4,5806878,2010,SHOUT! Music Publishing Australia,Contemporary,3,Final,225
87,I Will Rise,,"Chris Tomlin, Jesse Reeves",B,B,82,4/4,5183450,2008,sixsteps Music,Contemporary,4,Final,237
88,I Will Sing Of My Redeemer,,"Travis Cottrell, Philip Paul Bliss",D,Eb,66,9/8,7074703,1876,Public Domain,Hymn,3,Final,229
89,I Will Sing The Wondrous Story,,Francis H. Rawley,F,F,120,3/4,2328610,1886,Public Domain,Hymn,2,Final,285
90,I'll Fly Away,,Albert E. Brumley,G,G,120,4/4,26399,1932,Hartford Music Company,Hymn,1,Final,244
91,In Christ Alone,,"Keith Getty, Stuart Townend",D,D,60,3/4,3350395,2001,Thankyou Music,Contemporary,2,Final,287
92,Indescribable,,"Jesse Reeves, Laura Story",G,Bb,60,6/8,4403076,2004,Laura Stories,Contemporary,3,Final,241
93,It Is Well,Grander Earth,"Kristene DiMarco, Horatio Spafford",G,G,65,3/4+4/4,7021972,2013,Bethel Music Publishing,Contemporary,3,Final,245
94,It Is Well With My Soul,,Horatio G. Spafford,C,C,0,4/4,25376,1873,Public Domain,Hymn,1,Final,232
