Index,Title,AltTitle,Author,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status
52,Glorious Day,,"Kristian Stanfill, Jason Ingram",D,110,4-Apr,7081388,2017,Kristian Stanfill Publishing Designee,Contemporary,Final
53,Glorious Day,Living He Loved Me,"John W. Chapman, Mark Hall",B,120,4-Apr,5638022,2009,My Refuge Music,Contemporary,Final
54,God Of This City,,"Aaron Boyd, Andrew McCann",C,80,4-Apr,5037070,2006,sixsteps Music,Contemporary,Final
55,God Of Wonders,,"Marc Byrd, Steve Hindalong","Ab,Bb",82,4-Apr,3118757,2000,Never Say Never Songs,Contemporary,Final
56,Good Good Father,,"Anthony Brown, Pat Barrett",A,48,8-Jun,7036612,2014,Capitol CMG Paragon,Contemporary,Final
57,Gracefully Broken,,"Matt Redman, Jonas Myrin",A,88,4-Apr,7091509,2017,Capitol CMG Genesis,Contemporary,Final
58,Great Are You Lord,,"David Leonard, Jason Ingram",A,144,8-Jun,6460220,2012, Integrity's Alleluia! Music,Contemporary,Final
59,Great I Am,,Jared Anderson,D,80,4-Apr,5881491,2011,Integrity Worship Music,Contemporary,Final
60,Great Is Thy Faithfulness,,"Thomas Chisholm, William Runyan",D,75,4-Mar,18723,1923,Public Domain,Hymn,Final
61,Great Is Thy Faithfulness,Beginning To End,"William Runyan, Thomas Chisholm",C,100,4-Mar,7109317,2018,Weave Country,Contemporary,Final
62,Hallelujah For The Cross,,"Jeff Pardo, Ben Glover",D,75,4-Apr,7107551,2018,9t One Songs,Contemporary,Final
63,Hallelujah For The Cross,Up To The Hill,"Ross King, Todd Wright",Bb,115,4-Apr,6550556,2012,Simple Tense Songs,Contemporary,Final
64,He Reigns,,"Peter Furler, Steve Taylor",G,94,4-Apr,4026635,2003,Soylent Tunes,Contemporary,Final
65,Healer,,Mike Guglielmucci,B,80,4-Apr,4873981,2007,Planetshakers Ministries Int. Inc.,Contemporary,Final
66,"Heart Of Worship, The",,Matt Redman,D,70,4-Apr,2296522,1999,Thankyou Music,Intermediate,Final
67,Here Again,,"Steven Furtick, Chris Brown",C,68,4-Apr,7111925,2018,Elevation Worship Publishing,Contemporary,Final
68,Here For You,,"Jesse Reeves, Matt Maher",Ab,85,4-Apr,5925649,2011,Chrysalis Music Ltd.,Contemporary,Final
69,Here I Am To Worship,,Tim Hughes,E,75,4-Apr,3266032,2000,Thankyou Music,Contemporary,Final
70,Here Is Love,,"Robert Lowry, William Rees",G,80,4-Mar,3287884,2004,Thankyou Music,Contemporary,Final
71,Holy,Wedding Day,"Aaron Powell, Elias Dummer",Bb,57,4-Apr,6129798,2011,Thankyou Music,Contemporary,Final
72,Holy Holy Holy,,"John B. Dykes, Reginald Heber",D,0,4-Apr,1156,1826,Public Domain,Hymn,Final
73,Hosanna,,Carl Tuttle,G,120,4-Apr,21545,1985,Shadow Spring Music,Intermediate,Final
74,Hosanna,I See The King Of Glory,Brooke Ligertwood,E,75,4-Apr,4785835,2006,Hillsong Music Publishing Australia,Contemporary,Final
75,Hosanna,Praise Is Rising,"Brenton Brown, Paul Baloche",G,114,4-Apr,4662491,2006,Thankyou Music,Contemporary,Final
76,How Deep The Father's Love For Us,,Stuart Townend,D,54,4-Apr,1558110,1995,Thankyou Music,Intermediate,Final
77,How Firm A Foundation,,George Keith,Ab,64,2-Feb,107816,1787,Public Domain,Hymn,Final
78,How Great Is Our God,,"Chris Tomlin, Ed Cash",C,76,4-Apr,4348399,2004,sixsteps Music,Contemporary,Final
79,How Great Thou Art,,Stuart W. K. Hine,Bb,48,4-Apr,14181,1953,Stuart Hine Trust,Hymn,Final
80,I Can Only Imagine,,Bart Millard,D,80,4-Apr,2978857,2002,Simpleville Music,Contemporary,Final
81,I Know Whom I Have Believed,,Daniel W. Whittle,Db,96,4-Apr,31762,1883,Public Domain,Hymn,Final
82,I Lift My Hands,,"Chris Tomlin, Louie Giglio",B,85,4-Apr,5869884,2010,sixsteps Music,Contemporary,Final
83,I Stand Amazed,My Savior's Love,Charles H. Gabriel,Ab,106,4-Apr,25297,1905,Public Domain,Hymn,Final
84,I Stand In Awe,,Mark Altrogge,A,76,4-Apr,23914,1987,Sovereign Grace Praise,Intermediate,Final
85,I Surrender All,,"Judson DeVenter, Winfield Weeden",D,74,4-Apr,23189,1896,Public Domain,Hymn,Final
86,I Will Follow,,"Chris Tomlin, Jason Ingram",Bb,96,4-Apr,5806878,2010,SHOUT! Music Publishing Australia,Contemporary,Final
87,I Will Rise,,"Chris Tomlin, Jesse Reeves",B,82,4-Apr,5183450,2008,sixsteps Music,Contemporary,Final
88,I Will Sing Of My Redeemer,,"Travis Cottrell, Philip Paul Bliss",Eb,66,8-Sep,7074703,1876,Public Domain,Hymn,Final
89,I Will Sing The Wondrous Story,,Francis H. Rawley,F,120,4-Mar,2328610,1886,Public Domain,Hymn,Final
90,I'll Fly Away,,Albert E. Brumley,G,120,4-Apr,26399,1932,Hartford Music Company,Hymn,Final
91,In Christ Alone,,"Keith Getty, Stuart Townend",D,60,4-Mar,3350395,2001,Thankyou Music,Contemporary,Final
92,Indescribable,,"Jesse Reeves, Laura Story",Bb,60,8-Jun,4403076,2004,Laura Stories,Contemporary,Final
93,It Is Well,Grander Earth,"Kristene DiMarco, Horatio Spafford",G,65,3/4+4/4,7021972,2013,Bethel Music Publishing,Contemporary,Final
94,It Is Well With My Soul,,Horatio G. Spafford,C,0,4-Apr,25376,1873,Public Domain,Hymn,Final
95,Jesus I Am Resting,,Jean Sophia Pigott,G,0,4-Apr,148576,1876,Public Domain,Hymn,Final
96,Jesus Is Alive,,"Michael Farren, Tiarne Tranter",C,65,8-Jun,7121850,2018,CityAlight Music,Contemporary,Final
97,Jesus Messiah,,"Chris Tomlin, Daniel Carson",B,86,4-Apr,5183443,2008,sixsteps Music,Contemporary,Final
98,Jesus Paid It All,,Elvina M. Hall,Db,76,4-Mar,22331,1865,Public Domain,Hymn,Final
99,Jesus Son Of God,,"Chris Tomlin, Jason Ingram",B,76,4-Apr,6223539,2012,S. D. G. Publishing,Contemporary,Final
100,Just As I Am,,Charlotte Elliot,Db,86,4-Jun,23206,1835,Public Domain,Hymn,Final
101,Just As I Am,I Come Broken,"Charlotte Elliott, David Moffitt",A,73,4-Mar,5635850,2009,CCTB Music,Contemporary,Final
102,King Of Kings,,"Brooke Ligertwood, Scott Ligertwood",D,68,4-Apr,7127647,2019,Hillsong Music Publishing Australia,Contemporary,Final
103,King Of My Heart,,"John M. McMillan, Sarah McMillan",Bb,68,4-Apr,7046145,2015,Meaux Jeaux Music,Contemporary,Final
104,Knowing You,All I Once Held Dear,Graham Kendrick,C,54,4-Apr,1045238,1993,Make Way Music,Intermediate,Final
105,Lamb Of God,,Twila Paris,C,52,4-Mar,16787,1985,Mountain Spring Music,Intermediate,Final
106,Lay Me Down,,"Chris Tomlin, Jason Ingram",C,130,4-Apr,6223577,2012,Atlas Mountain Songs,Contemporary,Final
107,Lead Me To The Cross,Quiet I Come,Brooke Ligertwood,D,75,4-Apr,4785828,2006,Hillsong Music Publishing Australia,Contemporary,Final
108,Like A River Glorious,,James Mountain,F,0,4-Apr,33935,1874,Public Domain,Hymn,Final
109,"Lion And The Lamb, The",,"Brenton Brown, Brian Johnson",B,90,4-Apr,7038281,2015,Meaux Mercy,Contemporary,Final
110,Living Hope,,"Phil Wickham, Brian Johnson",Eb,72,4-Apr,7106807,2017,Phil Wickham Music,Contemporary,Final
111,Lord I Lift Your Name On High,,Rick Founds,G,86,4-Apr,117947,1989,Universal Music,Intermediate,Final
112,Lord I Need You,,"Christy Nockels, Daniel Carson",B,74,4-Apr,5925687,2011,sixsteps Music,Contemporary,Final
113,"Lord Is My Salvation, The",,"Jonas Myrin, Keith Getty",A,69,4-Apr,7063694,2016,Capitol CMG Paragon,Contemporary,Final
114,"Lord Our God, The",,"Jason Ingram, Kristian Stanfill",C,72,4-Apr,6518055,2013,sixsteps Music,Contemporary,Final
115,"Love Of God, The",,Frederick M. Lehman,D,82,4-Mar,18448,1917,Public Domain,Hymn,Final
116,Majesty,,Jack Hayford,Bb,0,4-Apr,1527,1981,New Spring,Intermediate,Final
117,Majesty,Here I Am,"Martin Smith, Stuart Garrard",Bb,68,4-Apr,4219071,2004,Curious? Music UK,Contemporary,Final
118,Man Of Sorrows,,"Brooke Ligertwood, Matt Crocker",F,72,4-Apr,6476063,2012,Hillsong Music Publishing Australia,Contemporary,Final
119,Mercy,,"Matt Redman, Jonas Myrin",C,73,4-Apr,7000689,2013,Atlas Mountain Songs,Contemporary,Final
120,Mighty To Save,,"Ben Fielding, Reuben Morgan",A,74,4-Apr,4591782,2006,Hillsong Music Publishing Australia,Contemporary,Final
121,Mine Eyes Have Seen The Glory,Battle Hymn,Julia W. Howe,Bb,90,4-Apr,24133,1862,Public Domain,Hymn,Final
122,Mountain,,"Matt Crocker, Joel Houston",D,76,4-Apr,6428853,2012,Hillsong Music Publishing Australia,Contemporary,Final
123,Mountain,You're Wonderful,"Bryan Torwalt, Katie Torwalt",B,91,4-Apr,7065990,2016,Phil Wickham Music,Contemporary,Final
124,My Lighthouse,,"Gareth Gilkeson, Chris Llewellyn",C,110,4-Apr,7002032,2013,Thankyou Music,Contemporary,Final
125,My Redeemer Lives,,Reuben Morgan,E,138,4-Apr,2397964,1998,Hillsong Music Publishing Australia,Intermediate,Final
126,Nearer My God To Thee,,Sarah F. F. Adams,F,100,4-Apr,78835,1841,Public Domain,Hymn,Final
127,New Wine,,Brooke Ligertwood,Bb,77,4-Apr,7102397,2017,Hillsong Music Publishing Australia,Contemporary,Final
128,No Longer Slaves,,"Jonathan D. Helser, Brian Johnson",Bb,74,4-Apr,7030123,2014,Bethel Music Publishing,Contemporary,Final
129,O Church Arise,,"Keith Getty, Stuart Townend",D,58,4-Mar,4611992,2005,Thankyou Music,Contemporary,Final
130,O Come To The Altar,,"Chris Brown, Mack Brock",B,140,8-Jun,7051511,2015,Elevation Worship Publishing,Contemporary,Final
131,O Praise The Name,,"Benjamin Hastings, Dean Ussher",C,72,4-Apr,7037787,2015,Hillsong Music Publishing Australia,Contemporary,Final
132,O The Deep Deep Love Of Jesus,,Samuel T. Francis,Em,72,4-Apr,137178,1875,Public Domain,Hymn,Final
133,Oceans,Where Feet May Fail,"Joel Houston, Matt Crocker",D,60,4-Apr,6428767,2012,Hillsong Music Publishing Australia,Contemporary,Final
134,Oh What Love,,"Aaron Powell, Elias Dummer",D,70,4-Apr,7044259,2015,Thankyou Music,Contemporary,Final
135,Once Again,,Matt Redman,Eb,71,4-Apr,1564362,1995,Thankyou Music,Intermediate,Final
136,One Thing Remains,Your Love Never Fails,"Brian Johnson, Christa B. Gifford",Bb,78,4-Apr,5508444,2010,ChristaJoy Music Publishing,Contemporary,Final
137,Onward Christian Soldiers,,Sabine B. Gould,F,96,4-Apr,47017,1865,Public Domain,Hymn,Final
138,Open The Eyes Of My Heart,,Paul Baloche,E,112,4-Apr,2298355,1997,Integrity's Hosanna! Music,Intermediate,Final
139,Our God,Water You Turned Into Wine,"Chris Tomlin, Jesse Reeves",B,105,4-Apr,5677416,2010,Atlas Mountain Songs,Contemporary,Final
140,"Power Of The Cross, The",,"Keith Getty, Stuart Townend",A,68,4-Apr,4490766,2005,Thankyou Music,Contemporary,Final
141,"Power Of Your Love, The",,Geoff Bullock,Bb,85,4-Apr,917491,1992,Geoff Bullock Music,Intermediate,Final
142,Praise You In This Storm,,"Bernie Herms, Mark Hall",F#,84,4-Apr,4543620,2005,My Refuge Music,Contemporary,Final
143,Reckless Love,,"Cory Asbury, Caleb Culver",F#,56,8-Jun,7089641,2017,Cory Asbury Publishing,Contemporary,Final
144,Resurrecting,,"Chris Brown, Mack Brock",Db,74,4-Apr,7051507,2015,Elevation Worship Publishing,Contemporary,Final
145,Revelation Song,,Jennie L. Riddle,D,60,4-Apr,4447960,2004,Gateway Create Publishing,Contemporary,Final
146,Rooftops,,"Lindsey Sweat, Ben Williams",E,100,4-Apr,5875153,2010,Capitol CMG Amplifier,Contemporary,Final
147,Scandal Of Grace,,"Joel Houston, Matt Crocker",C,42,8-Jun,6428750,2012,Hillsong Music Publishing Australia,Contemporary,Final
148,Seek Ye First,,Karen Lafferty,C,120,4-Apr,1352,1972,CCCM Music,Intermediate,Final
149,Shout To The Lord,,Darlene Zschech,A,76,4-Apr,1406918,1993,Wondrous Worship,Intermediate,Final
150,So Will I,100 Billion X,"Joel Houston, Benjamin Hastings",A,64,2-Feb,7084123,2017,Hillsong Music Publishing Australia,Contemporary,Final
151,"Solid Rock, The",,Edward Mote,F,82,4-Mar,25417,1834,Public Domain,Hymn,Final
152,"Stand, The",,Joel Houston,A,77,4-Apr,4705248,2005,Hillsong Music Publishing Australia,Contemporary,Final
153,Still,Hide Me Now,Reuben Morgan,C,70,4-Apr,3940963,2002,Hillsong Music Publishing Australia,Contemporary,Final
154,Stronger,,"Ben Fielding, Reuben Morgan",C,75,4-Mar,5060810,2007,Hillsong Music Publishing Australia,Contemporary,Final
155,Sweetly Broken,,Jeremy Riddle,B,96,4-Apr,4514635,2005,Mercy / Vineyard Publishing,Contemporary,Final
156,Take My Life And Let It Be,,Frances R. Havergal,F,86,4-Apr,1390,1874,Public Domain,Hymn,Final
157,There Is A Fountain,,William Cowper,Bb,92,4-Apr,27707,1772,Public Domain,Hymn,Final
158,There Is A Redeemer,,Melody Green,D,92,4-Apr,11483,1982,Universal Music,Intermediate,Final
159,This Is Amazing Grace,,"Jeremy Riddle, Josh Farro",Bb,100,4-Apr,6333821,2012,Phil Wickham Music,Contemporary,Final
160,This Is My Father's World,,"Aaron Purdy, Franklin L. Sheppard",D,66,4-Apr,6167640,2009,Jennie Lee Riddle Music,Contemporary,Final
161,Tis So Sweet To Trust In Jesus,,Lousa M. R. Stead,G,90,4-Apr,22609,1882,Public Domain,Hymn,Final
162,To God Be The Glory,,Fanny Jane Crosby,G,90,4-Mar,23426,1875,Public Domain,Hymn,Final
163,Tremble,,"Andres Figueroa, Hank Bentley",C,74,4-Apr,7065049,2016,All Essential Music,Contemporary,Final
164,Trust And Obey,,John H. Sammis,F,96,4-Mar,22094,1887,Public Domain,Hymn,Final
165,Victor's Crown,,"Darlene Zschech, Israel Houghton",C,75,4-Apr,6454621,2013,Worship Together Music,Contemporary,Final
166,Victory In Jesus,I Heard An Old Old Story,Eugene M. Bartlett,G,124,4-Apr,1259,1939,Public Domain,Hymn,Final
167,Way Maker,,Osinachi K. O. Egbu,E,68,4-Apr,7115744,2016,Integrity Music Europe,Contemporary,Final
168,We Believe,,"Matthew Hooper, Richie Fike",D,66,4-Apr,6367165,2015,Integrity Worship Music,Contemporary,Final
169,What A Beautiful Name,,"Ben Fielding, Brooke Ligertwood",D,68,4-Apr,7068424,2016,Hillsong Music Publishing Australia,Contemporary,Final
170,What A Friend We Have In Jesus,,"Charles Converse, Joseph Scriven",F,0,4-Apr,27714,1855,Public Domain,Hymn,Final
171,When I Survey The Wondrous Cross,,Isaac Watts,F,96,4-Apr,27893,1707,Public Domain,Hymn,Final
172,When The Roll Is Called Up Yonder,,James M. Black,Ab,108,4-Apr,31315,1893,Public Domain,Hymn,Final
173,Who Am I,,Mark Hall,B,66,4-Apr,4196651,2003,My Refuge Music,Contemporary,Final
174,Who You Say I Am,,"Ben Fielding, Reuben Morgan",A,58,8-Jun,7102401,2017,Hillsong Music Publishing Australia,Contemporary,Final
175,Whom Shall I Fear,God Of Angel Armies,"Chris Tomlin, Ed Cash",C,75,4-Apr,6440288,2012,Alletrop Music,Contemporary,Final
176,"Wonderful Cross, The",,"Chris Tomlin, Isaac Watts",D,88,4-Apr,3148435,2000,sixsteps Music,Contemporary,Final
177,Wonderful Merciful Savior,,"Dawn Rodgers, Eric Wyse",C,110,4-Mar,106879,1989,Curb Dayspring Music,Intermediate,Final
178,Yet Not I But Through Christ In Me,,"Jonny Robinson, Rich Thompson",C,75,4-Apr,7121852,2018,CityAlight Music,Contemporary,Final
179,You Are God Alone,Not A God,"Billy J. Foote, Cindy Foote",A,70,4-Apr,4243463,2004,Billy Foote Music,Contemporary,Final
180,You Are Holy,Prince Of Piece,"Marc Imboden, Tammi Rhoton",G,108,4-Apr,2332149,1994,Imboden Music,Intermediate,Final
181,You Are My All In All,,Dennis Jernigan,F,80,4-Apr,825356,1991,"Shepherd's Heart Music, Inc.",Intermediate,Final
182,You Are My King,Amazing Love,Billy J. Foote,E,70,4-Apr,2456623,1996,worshiptogether.com songs,Intermediate,Final
183,Your Grace Is Enough,,Matt Maher,G,116,4-Apr,4477026,2003,Thankyou Music,Contemporary,Final
184,Your Great Name,,"Krissy Nordhoff, Michael Neale",C,75,4-Apr,5393329,2008,Integrity's Praise! Music,Contemporary,Final
185,Your Love Never Fails,,"Anthony Skinner, Chris McClarney",Bb,116,4-Apr,5337172,2008,Thankyou Music,Contemporary,Final
186,Your Presence Is Heaven,,"Israel Houghton, Micah Massey",D,66,4-Apr,6214751,2012,Integrity Worship Music,Contemporary,Final
