Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
37,,,,Cornerstone,,"Edward Mote, Eric Liljero",C,C,71,4-Apr,6158927,2011,Hillsong Music Publishing Australia,Contemporary,Final,3,85,LeadSheet,Cornerstone (C).pdf
38,,,,Crown Him,Majesty,"Chris Tomlin, Ed Cash",D,"Db,Eb",76,4-Apr,6463818,2013,Alletrop Music,Contemporary,Final,4,89,LeadSheet,Crown Him (Majesty) (D).pdf
39,,,,Crown Him With Many Crowns,,"Matthew Bridges, Godfrey Thring",D,D,92,4-Apr,23938,1851,Public Domain,Hymn,Final,1,128,LeadSheet,Crown Him With Many Crowns (D).pdf
40,,,,Days Of Elijah,,Robin Mark,A,Bb,95,4-Apr,1537904,1996,Song Solutions Daybreak,Intermediate,Final,3,93,LeadSheet,Days Of Elijah (A).pdf
41,,,,Death Was Arrested,,"Heath Balltzglier, Brandon Coker",B,B,52,8-Jun,7046448,2015,Seems Like Music,Contemporary,Final,4,97,LeadSheet,Death Was Arrested (B).pdf
42,,,,Death Where Is Your Sting,,"Cory Asbury, Anna Asbury",C,C,79,4-Apr,7102440,2017,Cory Asbury Publishing,Contemporary,Final,3,109,LeadSheet,Death Where Is Your Sting (C).pdf
43,,,,Do It Again,,"Steven Furtick, Matt Redman",A,Bb,86,4-Apr,7067555,2016,Said And Done Music,Contemporary,Final,4,101,LeadSheet,Do It Again (A).pdf
44,,,,Even So Come,,"Chris Tomlin, Jason Ingram",G,G,163,8-Jun,7036288,2015,S. D. G. Publishing,Contemporary,Final,4,105,LeadSheet,Even So Come (G).pdf
45,,,,Ever Be,,"Bobby Strand, Chris Greely",D,D,69,4-Apr,7030065,2014,Bethel Music Publishing,Contemporary,Final,3,117,LeadSheet,Ever Be (D).pdf
46,,,,Everlasting God,,"Brenton Brown, Ken Riley",A,Bb,100,4-Apr,4556538,2005,Thankyou Music,Contemporary,Final,3,125,LeadSheet,Everlasting God (A).pdf
47,,,,Faithful,,"Chris Tomlin, Christy Nockels",F,Gb,66,4-Apr,5869877,2010,sixsteps Music,Contemporary,Final,4,113,LeadSheet,Faithful (F).pdf
48,,,,Forever,,Chris Tomlin,A,A,120,4-Apr,3148428,2001,sixsteps Music,Contemporary,Final,2,203,LeadSheet,Forever (A).pdf
49,,,,Forever,We Sing Hallelujah,"Brian Johnson, Christa Black Gifford",A,A,73,4-Apr,7001228,2013,Kari Jobe Carnes Music,Contemporary,Final,3,141,LeadSheet,Forever (We Sing Hallelujah) (A).pdf
50,,,,Forgiven,,"David Crowder, Ed Cash",B,B,76,4-Apr,7068806,2016,Alletrop Music,Contemporary,Final,4,121,LeadSheet,Forgiven (B).pdf
51,,,,From The Inside Out,,Joel Houston,C,C,76,4-Apr,4705176,2005,Hillsong Music Publishing Australia,Contemporary,Final,3,149,LeadSheet,From The Inside Out (C).pdf
52,,,,Glorious Day,,"Kristian Stanfill, Jason Ingram",D,D,110,4-Apr,7081388,2017,Kristian Stanfill Publishing Designee,Contemporary,Final,3,153,LeadSheet,Glorious Day (D).pdf
53,,,,Glorious Day,Living He Loved Me,"John W. Chapman, Mark Hall",B,B,120,4-Apr,5638022,2009,My Refuge Music,Contemporary,Final,4,129,LeadSheet,Glorious Day (Living He Loved Me) (B).pdf
