Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
57,,,,Gracefully Broken,,"Matt Redman, Jonas Myrin",A,A,88,4-Apr,7091509,2017,Capitol CMG Genesis,Contemporary,Final,,,NumberChart,gracefully-broken-#.pdf
58,,,,Great Are You Lord,,"David Leonard, Jason Ingram",A,A,144,8-Jun,6460220,2012, Integrity's Alleluia! Music,Contemporary,Final,,,NumberChart,great-are-you-lord-#.pdf
59,,,,Great I Am,,Jared Anderson,D,D,80,4-Apr,5881491,2011,Integrity Worship Music,Contemporary,Final,,,NumberChart,great-i-am-#.pdf
60,,,,Great Is Thy Faithfulness,,"Thomas Chisholm, William Runyan",D,D,75,4-Mar,18723,1923,Public Domain,Hymn,Final,,,NumberChart,great-is-thy-faithfulness-#.pdf
61,,,,Great Is Thy Faithfulness,Beginning To End,"William Runyan, Thomas Chisholm",C,C,100,4-Mar,7109317,2018,Weave Country,Contemporary,Final,,,NumberChart,great-is-thy-faithfulness-beginning-to-end-#.pdf
62,,,,Hallelujah For The Cross,,"Jeff Pardo, Ben Glover",D,D,75,4-Apr,7107551,2018,9t One Songs,Contemporary,Final,,,NumberChart,hallelujah-for-the-cross-#.pdf
63,,,,Hallelujah For The Cross,Up To The Hill,"Ross King, Todd Wright",A,Bb,115,4-Apr,6550556,2012,Simple Tense Songs,Contemporary,Final,,,NumberChart,hallelujah-for-the-cross-up-to-the-hill-#.pdf
64,,,,He Reigns,,"Peter Furler, Steve Taylor",G,G,94,4-Apr,4026635,2003,Soylent Tunes,Contemporary,Final,,,NumberChart,he-reigns-#.pdf
65,,,,Healer,,Mike Guglielmucci,B,B,80,4-Apr,4873981,2007,Planetshakers Ministries Int. Inc.,Contemporary,Final,,,NumberChart,healer-#.pdf
66,,,,"Heart Of Worship, The",,Matt Redman,D,D,70,4-Apr,2296522,1999,Thankyou Music,Intermediate,Final,,,NumberChart,heart-of-worship-the-#.pdf
67,,,,Here Again,,"Steven Furtick, Chris Brown",C,C,68,4-Apr,7111925,2018,Elevation Worship Publishing,Contemporary,Final,,,NumberChart,here-again-#.pdf
68,,,,Here For You,,"Jesse Reeves, Matt Maher",G,Ab,85,4-Apr,5925649,2011,Chrysalis Music Ltd.,Contemporary,Final,,,NumberChart,here-for-you-#.pdf
69,,,,Here I Am To Worship,,Tim Hughes,E,E,75,4-Apr,3266032,2000,Thankyou Music,Contemporary,Final,,,NumberChart,here-i-am-to-worship-#.pdf
70,,,,Here Is Love,,"Robert Lowry, William Rees",G,G,80,4-Mar,3287884,2004,Thankyou Music,Contemporary,Final,,,NumberChart,here-is-love-#.pdf
71,,,,Holy,Wedding Day,"Aaron Powell, Elias Dummer",A,Bb,57,4-Apr,6129798,2011,Thankyou Music,Contemporary,Final,,,NumberChart,
72,,,,Holy Holy Holy,,"John B. Dykes, Reginald Heber",D,D,0,4-Apr,1156,1826,Public Domain,Hymn,Final,,,NumberChart,holy-holy-holy-#.pdf
73,,,,Hosanna,,Carl Tuttle,G,G,120,4-Apr,21545,1985,Shadow Spring Music,Intermediate,Final,,,NumberChart,hosanna-#.pdf
