Index,Artist,Album,Song,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,Status,Pages,PageNumber,Type,FileName
47,,,,Faithful,,"Chris Tomlin, Christy Nockels",F,Gb,66,4-Apr,5869877,2010,sixsteps Music,Contemporary,Final,,,ChordSheet,faithful-F.pdf
48,,,,Forever,,Chris Tomlin,A,A,120,4-Apr,3148428,2001,sixsteps Music,Contemporary,Final,,,ChordSheet,forever-A.pdf
49,,,,Forever,We Sing Hallelujah,"Brian Johnson, Christa Black Gifford",A,A,73,4-Apr,7001228,2013,Kari Jobe Carnes Music,Contemporary,Final,,,ChordSheet,forever-we-sing-hallelujah-A.pdf
50,,,,Forgiven,,"David Crowder, Ed Cash",B,B,76,4-Apr,7068806,2016,Alletrop Music,Contemporary,Final,,,ChordSheet,forgiven-B.pdf
51,,,,From The Inside Out,,Joel Houston,C,C,76,4-Apr,4705176,2005,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,from-the-inside-out-C.pdf
52,,,,Glorious Day,,"Kristian Stanfill, Jason Ingram",D,D,110,4-Apr,7081388,2017,Kristian Stanfill Publishing Designee,Contemporary,Final,,,ChordSheet,glorious-day-D.pdf
53,,,,Glorious Day,Living He Loved Me,"John W. Chapman, Mark Hall",B,B,120,4-Apr,5638022,2009,My Refuge Music,Contemporary,Final,,,ChordSheet,glorious-day-living-he-loved-me-B.pdf
54,,,,God Of This City,,"Aaron Boyd, Andrew McCann",C,C,80,4-Apr,5037070,2006,sixsteps Music,Contemporary,Final,,,ChordSheet,god-of-this-city-C.pdf
55,,,,God Of Wonders,,"Marc Byrd, Steve Hindalong",G,"Ab,Bb",82,4-Apr,3118757,2000,Never Say Never Songs,Contemporary,Final,,,ChordSheet,god-of-wonders-G.pdf
56,,,,Good Good Father,,"Anthony Brown, Pat Barrett",A,A,48,8-Jun,7036612,2014,Capitol CMG Paragon,Contemporary,Final,,,ChordSheet,good-good-father-A.pdf
57,,,,Gracefully Broken,,"Matt Redman, Jonas Myrin",A,A,88,4-Apr,7091509,2017,Capitol CMG Genesis,Contemporary,Final,,,ChordSheet,gracefully-broken-A.pdf
58,,,,Great Are You Lord,,"David Leonard, Jason Ingram",A,A,144,8-Jun,6460220,2012, Integrity's Alleluia! Music,Contemporary,Final,,,ChordSheet,great-are-you-lord-A.pdf
59,,,,Great I Am,,Jared Anderson,D,D,80,4-Apr,5881491,2011,Integrity Worship Music,Contemporary,Final,,,ChordSheet,great-i-am-D.pdf
60,,,,Great Is Thy Faithfulness,,"Thomas Chisholm, William Runyan",D,D,75,4-Mar,18723,1923,Public Domain,Hymn,Final,,,ChordSheet,great-is-thy-faithfulness-beginning-to-end-C.pdf
61,,,,Great Is Thy Faithfulness,Beginning To End,"William Runyan, Thomas Chisholm",C,C,100,4-Mar,7109317,2018,Weave Country,Contemporary,Final,,,ChordSheet,great-is-thy-faithfulness-D.pdf
62,,,,Hallelujah For The Cross,,"Jeff Pardo, Ben Glover",D,D,75,4-Apr,7107551,2018,9t One Songs,Contemporary,Final,,,ChordSheet,hallelujah-for-the-cross-D.pdf
63,,,,Hallelujah For The Cross,Up To The Hill,"Ross King, Todd Wright",A,Bb,115,4-Apr,6550556,2012,Simple Tense Songs,Contemporary,Final,,,ChordSheet,hallelujah-for-the-cross-up-to-the-hill-a.pdf
64,,,,He Reigns,,"Peter Furler, Steve Taylor",G,G,94,4-Apr,4026635,2003,Soylent Tunes,Contemporary,Final,,,ChordSheet,he-reigns-G.pdf
65,,,,Healer,,Mike Guglielmucci,B,B,80,4-Apr,4873981,2007,Planetshakers Ministries Int. Inc.,Contemporary,Final,,,ChordSheet,healer-B.pdf
66,,,,"Heart Of Worship, The",,Matt Redman,D,D,70,4-Apr,2296522,1999,Thankyou Music,Intermediate,Final,,,ChordSheet,heart-of-worship-the-D.pdf
67,,,,Here Again,,"Steven Furtick, Chris Brown",C,C,68,4-Apr,7111925,2018,Elevation Worship Publishing,Contemporary,Final,,,ChordSheet,here-again-C.pdf
68,,,,Here For You,,"Jesse Reeves, Matt Maher",G,Ab,85,4-Apr,5925649,2011,Chrysalis Music Ltd.,Contemporary,Final,,,ChordSheet,here-for-you-G.pdf
69,,,,Here I Am To Worship,,Tim Hughes,E,E,75,4-Apr,3266032,2000,Thankyou Music,Contemporary,Final,,,ChordSheet,here-i-am-to-worship-E.pdf
70,,,,Here Is Love,,"Robert Lowry, William Rees",G,G,80,4-Mar,3287884,2004,Thankyou Music,Contemporary,Final,,,ChordSheet,here-is-love-G.pdf
71,,,,Holy,Wedding Day,"Aaron Powell, Elias Dummer",A,Bb,57,4-Apr,6129798,2011,Thankyou Music,Contemporary,Final,,,ChordSheet,holy-holy-holy-D.pdf
72,,,,Holy Holy Holy,,"John B. Dykes, Reginald Heber",D,D,0,4-Apr,1156,1826,Public Domain,Hymn,Final,,,ChordSheet,holy-wedding-day-A.pdf
73,,,,Hosanna,,Carl Tuttle,G,G,120,4-Apr,21545,1985,Shadow Spring Music,Intermediate,Final,,,ChordSheet,hosanna-G.pdf
74,,,,Hosanna,I See The King Of Glory,Brooke Ligertwood,E,E,75,4-Apr,4785835,2006,Hillsong Music Publishing Australia,Contemporary,Final,,,ChordSheet,hosanna-i-see-the-king-of-glory-E.pdf
75,,,,Hosanna,Praise Is Rising,"Brenton Brown, Paul Baloche",G,G,114,4-Apr,4662491,2006,Thankyou Music,Contemporary,Final,,,ChordSheet,hosanna-praise-is-rising-G.pdf
